sense-21056524-i1,synset-s21056524-d1,word-s21056524,
sense-21059292,synset-37187,word-11037733,
sense-21010674,synset-54919,word-11006934,
sense-21003173,synset-s21003173,word-s21003173,
sense-21024479,synset-17510,word-11016054,
sense-21011724,synset-14536,word-11007752,
sense-21068695,synset-s21068695,word-s21068695,
sense-21068475,synset-26609,word-11043691,
sense-21078523,synset-39859,word-11049501,
sense-91001079,synset-27524,word-11008639-10,
sense-21063181,synset-s21063181,word-s21063181,
sense-21052606,synset-74721,word-11033428-7,
sense-23002047,synset-76760,word-temporary_72,
sense-28121132,synset-53897,word-53201023,
sense-21002693,synset-2002,word-11001809,
sense-21006170,synset-18751,word-11004072,
sense-28007954,synset-53798,word-40000400,
sense-21045703,synset-36285,word-11029209,
sense-21041224,synset-30479,word-11026459,
sense-21037170,synset-1636,word-11023760,
sense-23002032,synset-76745,word-temporary_57,
sense-21069327,synset-60444,word-11044164,
sense-21096745,synset-16295,word-12007603-8,
sense-21066121,synset-20000,word-11042227,
sense-21032406,synset-23206,word-11020953,
sense-91000450,synset-5375,word-11003538,
sense-21045742,synset-2860,word-11029240,
sense-21029235,synset-1312,word-11019026,
sense-91002115,synset-67904,word-11017043,
sense-91003378,synset-14180,word-11026563,sj.
sense-21035073,synset-66167,word-11022502,især i bibelske tekster
sense-21023583,synset-47842,word-11015482,
sense-22027670,synset-59905,word-53004101,
sense-22020196,synset-61131,word-50006567,
sense-21081182,synset-8324,word-11050987,
sense-21015445,synset-34274,word-11010279,
sense-53400714,synset-s53400714,word-s53400714,
sense-28110143,synset-57417,word-53401410,
sense-28124678,synset-50609,word-53201008,
sense-22015892,synset-54071,word-53001777,
sense-21040335,synset-16079,word-11025918,
sense-21061097,synset-530,word-11038845,
sense-22029488,synset-61548,word-50009309,
sense-21076055,synset-3713,word-11048021,
sense-21007721,synset-34089,word-11005091,
sense-28124629,synset-60151,word-53001593,
sense-21083549,synset-47454,word-11052281,
sense-22006490,synset-64594,word-53000239,
sense-28004938,synset-52817,word-30000189,
sense-21012185,synset-38742,word-11008178,
sense-21027525,synset-15267,word-11018023,
sense-21076891,synset-68934,word-11048509,
sense-22021991,synset-58514,word-50006987,
sense-21089767,synset-71222,word-12003420,
sense-21009043,synset-13808,word-11005904,
sense-28119914,synset-52785,word-50003762,
sense-21054627,synset-42672,word-11034884,
sense-21006078,synset-38938,word-11004036,
sense-28104881,synset-52838,word-40004638,
sense-21085589,synset-74891,word-12000866,sj.
sense-91007481,synset-66038,word-12004273,
sense-91007477,synset-46221,word-12004257,
sense-21001030,synset-68385,word-11000697,
sense-21034144,synset-21487,word-11021970,
sense-28066013,synset-60919,word-40003313,
sense-21040217,synset-60823,word-11025841,
sense-21002501,synset-16155,word-11001681,
sense-21058990,synset-17434,word-11037558,
sense-21092810,synset-2948,word-12005246,
sense-21075813,synset-21796,word-11047906,
sense-21082594,synset-59516,word-11051738,
sense-21072146,synset-73745,word-11045895-64,
sense-21029176,synset-11351,word-11018985,
sense-28120283,synset-63574,word-50010346,
sense-28110980,synset-58161,word-53005461,
sense-21049562,synset-57162,word-11031549,
sense-21049119,synset-19585,word-11031267,
sense-21037407,synset-13173,word-11023919,
sense-21091817,synset-7377,word-12004622-7,
sense-21008931,synset-68219,word-11005817,
sense-21002406,synset-56206,word-11001613,
sense-23001086,synset-75521,word-temporary_685,
sense-21021644,synset-41251,word-11014291,
sense-21016298,synset-24578,word-11010848,
sense-21068871,synset-74157,word-11043920,
sense-21094344,synset-67555,word-12006226,gl.
sense-21077880,synset-30563,word-11049146,
sense-21014349,synset-29977,word-11009617,
sense-21070333,synset-44009,word-11044779,
sense-21031620,synset-49060,word-11020472,
sense-28120144,synset-70400,word-50001089,
sense-21037076-i2,synset-s21037076-d2,word-s21037076,
sense-21041258,synset-42019,word-11026475,
sense-28002061,synset-55030,word-30001083,
sense-28090433,synset-59295,word-50009188,
sense-21014291,synset-1056,word-11009582,
sense-21000073,synset-36360,word-11000052,
sense-91001249,synset-49303,word-11010167,
sense-21067859,synset-20038,word-11043348,
sense-21020774,synset-5379,word-11013762,
sense-21055025,synset-46846,word-11035104,
sense-21035110,synset-9890,word-11022533,
sense-22011161,synset-67957,word-53001113,
sense-21023542,synset-79189,word-11015458,
sense-21098255,synset-12322,word-12008548,
sense-21051835,synset-41168,word-11032902,
sense-21005310,synset-1727,word-11003577,
sense-21049822,synset-27063,word-11031667,
sense-21070663,synset-12504,word-11045012,
sense-21083667,synset-s21083667,word-s21083667,
sense-21010005,synset-24088,word-11006521,
sense-21054975,synset-15177,word-11035070,
sense-28127378,synset-52963,word-53003825,
sense-91000609,synset-1059,word-11004859,
sense-21001724,synset-14949,word-11001138,
sense-91006652,synset-36979,word-11051272,
sense-21083136,synset-30263,word-11052036,
sense-21086086,synset-29645,word-12001118,
sense-21014130,synset-48434,word-11009477,
sense-21082124,synset-s21082124,word-s21082124,
sense-22019947,synset-61617,word-50006503,
sense-21096052,synset-25348,word-12007232,
sense-28105307,synset-s28105307,word-s28105307,
sense-21008025,synset-3653,word-11005262,
sense-21090814,synset-31395,word-12004039,
sense-21017868,synset-s21017868,word-s21017868,
sense-21065344,synset-34723,word-11041691,
sense-22029376,synset-56761,word-53004457,
sense-21009225,synset-30695,word-11006050-4,
sense-21042891,synset-78336,word-11027418,
sense-22035567,synset-65557,word-53005650,
sense-21052208,synset-34401,word-11033158,
sense-28008265,synset-62990,word-40000460,sj.
sense-21059511,synset-19836,word-11037872,især hist.
sense-21008110,synset-65677,word-11005320,
sense-28011069,synset-60276,word-40000892,
sense-21049554,synset-13974,word-11031544,
sense-91001222,synset-2694,word-11009963,
sense-21004872-i2,synset-36237,word-11003318,
sense-21061963,synset-15708,word-11039435,
sense-22007402,synset-70232,word-53000430,
sense-91003953,synset-7676,word-11031540,
sense-21061359,synset-19870,word-11039029,
sense-21047427,synset-74320,word-11030289,
sense-91007347,synset-74258,word-12003459,
sense-28078822,synset-52213,word-40003689,
sense-21096504,synset-45054,word-12007488-5,
sense-21050335,synset-37388,word-11031923,
sense-21089055,synset-33678,word-12003050,
sense-21063202,synset-68843,word-11040264,
sense-21004832,synset-7522,word-11003293,
sense-21021545,synset-79040,word-11014236,
sense-21078883,synset-78073,word-11049679,
sense-21068504,synset-5492,word-11043711,
sense-21045630,synset-16235,word-11029160,
sense-28126137,synset-50535,word-53003167,
sense-21046625,synset-14570,word-11029794,sj.
sense-21076856,synset-20231,word-11048471,sj.
sense-21029686,synset-3821,word-11019322,
sense-28049935,synset-51978,word-53001740,
sense-21082700,synset-20363,word-11051800,
sense-21003365,synset-68996,word-11002249,
sense-28080185,synset-65561,word-40003874,
sense-21090251,synset-26742,word-12003693,
sense-21073701,synset-35712,word-11046858,
sense-28125218,synset-51541,word-53006029,
sense-91006206,synset-78058,word-11048211,
sense-91002586,synset-41226,word-11020748,
sense-21018250,synset-43352,word-11012172-53,
sense-21028905,synset-45227,word-11018818,
sense-22031713,synset-51428,word-53004963,
sense-21014195,synset-48177,word-11009520,
sense-21074510,synset-16309,word-11047269,
sense-21073764,synset-24092,word-11046898,
sense-21028165,synset-5454,word-11018369,
sense-21054041,synset-19724,word-11034442,
sense-21065909,synset-65152,word-11042085,
sense-21003478,synset-59203,word-11002354,
sense-21091777,synset-s21091777,word-s21091777,
sense-91003270,synset-61582,word-11025883,
sense-21020351,synset-21374,word-11013493,
sense-21097452,synset-s21097452,word-s21097452,
sense-22015933,synset-73076,word-50004864,
sense-28112205,synset-64601,word-53002213,
sense-21038526,synset-9599,word-11024686,
sense-21073953,synset-29346,word-11046982-27,
sense-21008337,synset-11596,word-11005439,
sense-21015265,synset-2711,word-11010189,
sense-21048527,synset-42357,word-11030918,
sense-21009175,synset-36755,word-11006013,
sense-91001350,synset-4649,word-11011033,
sense-21067553,synset-s21067553,word-s21067553,
sense-21060426,synset-22555,word-11038397,
sense-22034263,synset-62207,word-53005382,
sense-21083281,synset-6581,word-11052119,
sense-21057632,synset-62872,word-11036758,
sense-21028027,synset-8642,word-11018321,
sense-21067080,synset-49412,word-11042841,
sense-23000248-i2,synset-9059,word-35000236-0,
sense-22031472,synset-63467,word-53004908,
sense-21008545,synset-28128,word-11005572,
sense-21056033,synset-21932,word-11035780,
sense-21082099,synset-3127,word-11051434,
sense-21031285,synset-30609,word-11020268,
sense-21079220,synset-39812,word-11049869,
sense-21016496,synset-72649,word-11010990,
sense-21036873,synset-17738,word-11023571,
sense-21083459,synset-23896,word-11052228,
sense-21064545,synset-71774,word-11041200,
sense-21050370,synset-35019,word-11031944,
sense-21097144,synset-29368,word-12007906,
sense-21062589,synset-17534,word-11039878,
sense-21051766,synset-29916,word-11032852,
sense-21021191,synset-41091,word-11014030,
sense-21028549,synset-8012,word-11018622,
sense-21011957,synset-1495,word-11007940,
sense-21025421,synset-40536,word-11016644,
sense-21051090,synset-61283,word-11032408,
sense-21049519,synset-21401,word-11031522,
sense-91002023,synset-31777,word-11016576,sj.
sense-21031808,synset-61884,word-11020570,
sense-21056260,synset-22710,word-11035908,
sense-21090902,synset-75135,word-12004092,
sense-28102543,synset-52307,word-53005219,
sense-21028032,synset-s21028032,word-s21028032,
sense-21097445,synset-37644,word-12008106,
sense-21004778,synset-24467,word-11003267,
sense-22033879,synset-50236,word-53005313,
sense-28005741,synset-67851,word-40000290,
sense-21054897,synset-10555,word-11035030,
sense-21066780,synset-57390,word-11042649,
sense-28064451,synset-58722,word-40003296,
sense-21064288,synset-26215,word-11041029-4,
sense-21096620,synset-20588,word-12007539,
sense-21051558,synset-6726,word-11032716,
sense-21091629,synset-s21091629,word-s21091629,
sense-21095156,synset-23257,word-12006702,
sense-21083651,synset-26924,word-11052297,
sense-21030760,synset-36468,word-11019924,
sense-21071653,synset-26863,word-11045638,
sense-21019742,synset-39330,word-11013031,
sense-21014362,synset-41009,word-11009618,
sense-21083763,synset-47044,word-11052366,
sense-21014380,synset-4412,word-11009630,sj.
sense-21000748,synset-64329,word-11000501,
sense-21008829,synset-74885,word-11005762-14,
sense-21001028,synset-14208,word-11000693,
sense-21074425,synset-45170,word-11047240,
sense-21019128,synset-62726,word-11012661,
sense-21097178,synset-70883,word-12007930,
sense-21077103,synset-23810,word-11048661,sj.
sense-21029895,synset-29294,word-11019438-55,sj.
sense-21050240,synset-19606,word-11031866,
sense-21074457,synset-30189,word-11047251,
sense-22005690,synset-59097,word-53200485,
sense-21041163,synset-34768,word-11026421,
sense-21034946,synset-11183,word-11022435,
sense-21045487,synset-26939,word-11029078,
sense-21080585,synset-68186,word-11050640,
sense-21042989,synset-62393,word-11027483,
